房屋编号,城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,供暖
房源编号：BJ2565932728419885056,北京,大兴,大兴其它,恒盛波尔多小镇南区,96㎡,整租,东南/西北,2600,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2564972307169165312,北京,朝阳,东坝,康静里,48㎡,整租,南,3500,季付价,1室,1厅,1卫,2020-08-12,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563523087039733760,北京,顺义,顺义城,石园西区,58㎡,整租,南/北,2300,NULL,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2564971785993338880,北京,朝阳,垡头,垡头西里,46㎡,整租,南/北,4500,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,4层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2565022233353797632,北京,海淀,玉泉路,玉海园一里,60㎡,整租,南/北,4800,季付价,2室,1厅,1卫,2020-07-31,3年以上,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563832841792126976,北京,海淀,海淀北部新区,温泉教师楼,70㎡,整租,南,4100,季付价,3室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,暂无数据,集中供暖
房源编号：BJ2564403111821320192,北京,朝阳,首都机场,南平里,59㎡,整租,南/北,3500,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2564460215584169984,北京,大兴,南中轴机场商务区,金色漫香郡北区,91㎡,整租,南/北,3000,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,8层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2316532588967100416,北京,海淀,海淀北部新区,保利西山林语,49㎡,整租,南,4990,季付价,1室,1厅,1卫,随时入住,1年,随时可看,2,7层,有,租用车位,民水,民电,有,自采暖
房源编号：BJ2565816220863430656,北京,房山,窦店,山水汇豪苑A区,63㎡,整租,南/北,1600,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,自采暖
房源编号：BJ2230299707312717824,北京,朝阳,潘家园,弘善家园,40㎡,整租,南,5560,季付价,1室,1厅,1卫,随时入住,1年,随时可看,8,18层,有,租用车位,民水,民电,有,自采暖
房源编号：BJ2563658455064264704,北京,丰台,五里店,程庄路68号院,76㎡,整租,南/北,4000,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563785535227707392,北京,西城,阜成门,北营房西里,41㎡,整租,南,5000,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2563498348547932160,北京,朝阳,定福庄,定福庄西街,41㎡,整租,南,4000,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2564264931952164864,北京,朝阳,石佛营,八里庄北里小区,50㎡,整租,西,4300,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2563682979444424704,北京,朝阳,劲松,武圣东里,56㎡,整租,南/北,4400,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563816808117444608,北京,朝阳,首都机场,北平里,55㎡,整租,南/北,3300,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2563789251330719744,北京,丰台,北大地,东安街头条1号院,40㎡,整租,南,3500,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2317188232167047168,北京,丰台,卢沟桥,卢沟桥南里,55㎡,整租,南,4330,季付价,2室,1厅,1卫,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563709982214463488,北京,海淀,海淀北部新区,西六砖瓦厂家属楼,51㎡,整租,东,4300,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,5层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2354509415547142144,北京,朝阳,常营,北京新天地五期,71㎡,整租,西,5790,季付价,1室,1厅,1卫,随时入住,1年,随时可看,17,27层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2563629239496876032,北京,朝阳,朝阳其它,柏阳景园,82㎡,整租,南/北,4500,季付价,2室,2厅,1卫,随时入住,3年以上,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,自采暖
房源编号：BJ2239128201760604160,北京,丰台,卢沟桥,晓月新苑,69㎡,整租,东,4130,季付价,1室,1厅,1卫,随时入住,1年,随时可看,10,22层,有,租用车位,民水,民电,有,自采暖
房源编号：BJ2563571807311364096,北京,顺义,顺义城,石园西区,61㎡,整租,南/北,3000,NULL,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2357312883819282432,北京,西城,广安门,荣丰2008,40㎡,整租,西,5990,季付价,1室,1厅,1卫,随时入住,1年,随时可看,4,16层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2372822243903275008,北京,朝阳,双桥,远洋一方润园6号院,74㎡,整租,南,6090,季付价,2室,1厅,1卫,随时入住,1年,随时可看,14,15层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2200642146963832832,北京,西城,广安门,车站西街17号院,47㎡,整租,南,5190,季付价,1室,1厅,1卫,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2375525309463674880,北京,朝阳,双桥,双柳新居,60㎡,整租,南,5460,季付价,1室,1厅,1卫,随时入住,1年,随时可看,2,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2380970046684921856,北京,朝阳,工体,奥加国际公寓,44㎡,整租,南,6530,季付价,1室,1厅,1卫,随时入住,1年,随时可看,9,14层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2395726873092169728,北京,石景山,苹果园,模式口西里,61㎡,整租,南,4630,季付价,2室,1厅,1卫,随时入住,1年,随时可看,5,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563766176979091456,北京,朝阳,十八里店,世豪花园,71㎡,整租,南,4500,NULL,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,2层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2366498389220671488,北京,海淀,世纪城,烟树园,65㎡,整租,西南,7330,季付价,1室,1厅,1卫,随时入住,1年,随时可看,2,11层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2564309036459892736,北京,丰台,卢沟桥,晓月苑一里,70㎡,整租,南/北,3600,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566802857806266368,北京,西城,西直门,大钱市胡同内平房,15㎡,合租,南卧,4490,季付价,3居,室 ,15,随时入住,1年,随时可看,3,10层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2564465713209417728,北京,顺义,马坡,新马家园,65㎡,整租,南,2700,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,27层,有,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566107466111139840,北京,丰台,玉泉营,造甲南里5号院,8㎡,合租,北卧,2360,季付价,3居,室 ,8㎡,随时入住,1年,随时可看,2,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563745486268014592,北京,顺义,顺义城,石园大街9号院(三区),83㎡,整租,南/北,2900,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,14层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
房源编号：BJ2564265035409408000,北京,顺义,顺义城,石园大街9号院(三区),83㎡,整租,南/北,3000,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,15层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
房源编号：BJ2564500418424217600,北京,顺义,顺义城,石园大街9号院(三区),81㎡,整租,南/北,2850,季付价,2室,1厅,1卫,随时入住,3年以上,需提前预约,高楼层,16层,无,免费使用,暂无数据,暂无数据,暂无数据,暂无数据
房源编号：BJ2564558775193444352,北京,朝阳,东坝,康静里,58㎡,整租,南/北,4200,NULL,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563681801231417344,北京,顺义,马坡,泰和谊园,62㎡,整租,南/北,2600,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,11层,有,免费使用,民水,民电,有,集中供暖
房源编号：BJ2366984843155750912,北京,海淀,清河,永泰东里,58㎡,整租,南,6630,季付价,2室,1厅,1卫,随时入住,1年,随时可看,1,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2564384015541084160,北京,海淀,海淀北部新区,环山村,80㎡,整租,南/北,4500,季付价,3室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,4层,无,免费使用,暂无数据,暂无数据,有,集中供暖
房源编号：BJ2566077693288521728,北京,昌平,北七家,名佳花园一区,13㎡,合租,南卧,1960,季付价,5居,室 ,13,随时入住,1年,随时可看,6,7层,无,租用车位,民水,民电,有,自采暖
房源编号：BJ2564516525666992128,北京,海淀,西三旗,常秀家园,54㎡,整租,南/北,4600,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,5层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2564536630543122432,北京,丰台,丰台其它,珠光逸景二期,80㎡,整租,南/北,3200,季付价,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,5层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
房源编号：BJ2563611764734296064,北京,朝阳,华威桥,南新园,39㎡,整租,南,4500,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2564268159176032256,北京,西城,马连道,太平里,46㎡,整租,东/西,4800,NULL,1室,1厅,1卫,2020-08-04,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2564443129390571520,北京,顺义,李桥,樱花园二区,35㎡,整租,北,1700,季付价,1室,0厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2558472676084039680,北京,朝阳,甜水园,马道口,42㎡,整租,南,4500,季付价,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2563853265544683520,北京,西城,天宁寺,永居胡同,40㎡,整租,东,5000,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2376163324733177856,北京,朝阳,望京,东亚望京中心,40㎡,整租,东北,6960,季付价,1室,1厅,1卫,随时入住,1年,随时可看,14,34层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563589014661898240,北京,朝阳,首都机场,首都机场南路西里,42㎡,整租,南,2900,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,4层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566788413277872128,北京,昌平,北七家,龙冠冠华苑,9㎡,合租,北卧,1560,季付价,2居,室 ,9㎡,随时入住,1年,随时可看,17,18层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2565346830431305728,北京,西城,广安门,荣丰2008,28㎡,整租,北,4900,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,12层,有,租用车位,民水,民电,无,集中供暖
房源编号：BJ2347407790899216384,北京,海淀,双榆树,双榆树东里,36㎡,整租,南,7190,季付价,1室,1厅,1卫,随时入住,1年,随时可看,1,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2564973051179974656,北京,海淀,清河,强佑清河新城,25㎡,整租,东,4300,季付价,1室,0厅,1卫,2020-08-13,3年以内,需提前预约,低楼层,18层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2552866210878324736,北京,大兴,大兴新机场,隆盛园,10㎡,合租,北卧,1330,季付价,2居,室 ,10,随时入住,1年,随时可看,2,4层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566788570430054400,北京,朝阳,首都机场,南平里,58㎡,整租,未知,4660,季付价,2室,1厅,1卫,随时入住,1年,随时可看,3,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563855525947383808,北京,昌平,南邵,拓然家苑,17㎡,合租,北卧,1790,季付价,3居,室 ,17,随时入住,1年,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2564397119998279680,北京,大兴,南中轴机场商务区,首创悦都汇,74㎡,整租,南/北,2800,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
房源编号：BJ2566501030967640064,北京,顺义,顺义城,裕龙六区,10㎡,合租,南卧,1760,季付价,3居,室 ,10,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,暂无数据
房源编号：BJ2562881065949863936,北京,朝阳,双桥,双桥六号井,59㎡,整租,南/北,3500,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563872382150516736,北京,昌平,北七家,北亚花园,10㎡,合租,西卧,1790,季付价,2居,室 ,10,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2562137122761359360,北京,朝阳,东坝,金隅悦和园,61㎡,整租,南,4500,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,低楼层,22层,有,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566818317524541440,北京,门头沟,滨河西区,德露苑,13㎡,合租,南卧,1790,季付价,5居,室 ,13,随时入住,1年,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2562285940358266880,北京,海淀,海淀北部新区,上庄馨瑞嘉园,91㎡,整租,南/北,4100,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,14层,无,免费使用,暂无数据,民电,有,集中供暖
房源编号：BJ2562804527233777664,北京,朝阳,东坝,朝阳新城二区,63㎡,整租,西,4200,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,自采暖
房源编号：BJ2562380132237189120,北京,顺义,李桥,樱花园二区,69㎡,整租,南/北,2800,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2562836031665602560,北京,大兴,南中轴机场商务区,金色漫香郡南区,58㎡,整租,南/北,2450,NULL,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,9层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563021075550044160,北京,顺义,顺义城,石园东区,72㎡,整租,南/北,3000,季付价,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566636881068695552,北京,朝阳,和平里,和平街十五区2号院,12㎡,合租,东北卧,3830,季付价,3居,室 ,12,随时入住,1年,随时可看,9,18层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563021320976089088,北京,朝阳,首都机场,东平里,82㎡,整租,南/北,3800,季付价,3室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566675234379792384,北京,海淀,学院路,逸成东苑,10㎡,合租,东卧,2700,季付价,4居,室 ,10,随时入住,1年,随时可看,1,20层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2563007778415722496,北京,大兴,南中轴机场商务区,蓝桥驿苑,81㎡,整租,南,2600,NULL,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,15层,有,暂无数据,民水,民电,有,自采暖
房源编号：BJ2562836642062663680,北京,顺义,顺义城,石园东区,60㎡,整租,南/北,2200,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
