城市,区,方位,小区名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,暖气,采暖
北京,西城,马连道,茶贸国际中心,34,整租,西,4530,季付价,1,1,1,随时入住,1年,随时可看,低楼层,12,NULL,NULL,NULL,NULL,NULL,NULL
北京,海淀,西三旗,知本时代,50,整租,北,5100,NULL,1,1,1,随时入住,NULL,需提前预约,高楼层,15,有,NULL,民水,民电,有,集中供暖
北京,丰台,刘家窑,石榴园南里小区,50,整租,东,4600,季付价,1,1,1,201981,3年以内,需提前预约,高楼层,9,有,NULL,民水,民电,有,集中供暖
北京,顺义,顺义其它,东亚首航国际,28,整租,东,2500,NULL,NULL,NULL,NULL,随时入住,NULL,需提前预约,高楼层,9,有,NULL,商水,商电,无,集中供暖
北京,朝阳,北工大,磨房北里,45,整租,南,5690,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,十里堡,十里堡北里,38,整租,南,5690,季付价,1,1,1,随时入住,1年,随时可看,低楼层,5,NULL,NULL,NULL,NULL,NULL,NULL
北京,石景山,杨庄,西现代城,54,整租,南,4400,季付价,1,1,1,2019815,3年以内,一般下班后可看,低楼层,22,有,NULL,民水,民电,有,集中供暖
北京,海淀,甘家口,三里河路5号院,44,整租,东,4800,NULL,1,1,1,随时入住,1~3个月,需提前预约,中楼层,18,有,NULL,民水,民电,有,集中供暖
北京,亦庄开发区,马驹桥,新海北里,74,整租,南,3400,季付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,6,无,NULL,民水,民电,有,集中供暖
北京,朝阳,方庄,10AM新坐标,42,整租,西,5912,月付价,1,1,1,随时入住,3~12个月,随时可看,中楼层,29,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,大望路,后现代城A区,45,整租,北,5690,季付价,1,1,1,随时入住,1年,随时可看,低楼层,20,NULL,NULL,NULL,NULL,NULL,NULL
北京,西城,天宁寺,白菜湾社区,59,整租,南,5500,NULL,2,1,1,2019731,NULL,需提前预约,高楼层,6,无,NULL,民水,民电,有,集中供暖
北京,朝阳,安贞,安贞里,45,整租,南,5500,NULL,1,1,1,2019728,1年以内,需提前预约,低楼层,18,有,NULL,民水,民电,有,集中供暖
北京,顺义,顺义其它,焦各庄街2号院,61,整租,西,2200,季付价,NULL,NULL,NULL,随时入住,1年以内,需提前预约,中楼层,12,有,NULL,商水,民电,有,集中供暖
北京,西城,牛街,双槐里,46,整租,南,6190,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
