城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼高,电梯,车位,用水,用电,燃气,供暖
6,16,1,86,20,1,2,3600,3,3,1,1,2,0,3,2,6,2,1,1,1,1,2
6,1,125,796,58,1,2,2000,0,1,1,1,2,0,2,1,14,2,0,1,1,1,0
6,1,64,524,66,1,2,1000,0,2,1,1,2,0,2,3,5,1,0,1,1,1,0
6,17,18,556,9,1,4,1390,1,3,1,1,2,12,3,2,16,0,0,0,0,0,0
6,2,53,1122,10,1,4,1590,1,4,1,2,2,12,3,1,6,2,0,1,1,2,0
6,8,19,1341,25,1,2,2800,3,3,1,3,2,12,3,1,35,2,2,1,1,2,2
6,3,149,352,15,1,2,2800,0,1,1,1,2,0,2,3,6,1,0,1,1,1,0
6,11,102,445,40,1,2,3000,0,1,1,1,2,0,2,2,6,1,0,1,1,1,0
6,1,88,484,12,1,2,1500,3,4,1,1,2,12,3,3,18,2,2,1,1,1,2
6,10,93,1496,12,1,2,1400,1,3,1,1,2,12,3,1,6,1,2,1,1,1,0
6,16,164,1131,86,1,2,8700,1,2,1,1,1,24,2,3,25,2,0,1,1,1,0
6,8,129,853,39,1,2,4800,0,1,0,1,2,0,3,2,6,1,0,1,1,1,0
6,11,74,427,41,1,2,4000,0,1,1,1,1,0,2,2,6,1,0,1,1,1,0
6,11,66,119,12,1,4,1700,1,4,1,2,2,12,3,2,24,2,2,1,1,2,0
6,1,64,242,91,1,2,3500,0,2,2,1,2,0,5,3,18,2,0,1,1,1,0
6,15,112,513,16,1,2,4800,3,4,2,2,2,12,3,2,28,2,0,1,1,2,0
6,17,69,984,10,1,4,1250,3,3,1,1,2,12,3,1,18,1,2,1,1,2,0
6,1,134,326,56,1,2,3600,1,1,1,1,2,12,2,2,18,2,0,1,1,2,0
6,1,64,108,96,1,2,3600,0,2,2,1,2,0,2,3,6,1,0,1,1,1,0
6,2,53,812,15,1,2,1830,1,3,1,1,2,12,3,3,6,1,0,1,1,2,0
6,8,99,164,15,1,2,3300,3,4,1,2,2,0,3,2,27,2,0,1,1,2,0
6,9,32,715,50,1,1,1800,0,1,1,1,2,0,2,2,20,1,0,1,1,1,0
6,8,99,111,30,1,2,5300,1,1,1,1,1,12,2,2,5,1,0,1,1,1,2
6,8,5,186,20,1,2,2500,1,3,1,1,2,0,3,3,6,1,0,0,0,2,2
6,2,113,1256,8,1,4,1490,1,3,1,1,2,12,3,3,9,2,2,1,1,2,0
6,1,72,896,20,1,2,1500,1,3,1,1,2,12,3,3,11,2,2,1,1,1,0
6,1,125,1271,73,1,2,3100,0,2,1,1,2,0,2,3,5,1,0,1,1,1,0
6,1,152,967,39,1,2,3400,0,1,1,1,2,0,2,3,7,1,0,1,1,1,0
6,2,116,354,28,1,2,1799,3,1,1,1,2,12,3,3,4,0,0,0,0,0,0
6,11,24,692,48,1,2,4600,0,1,1,1,1,0,2,3,7,1,0,1,1,1,0
6,14,14,510,14,1,2,2430,1,3,1,1,2,12,3,2,7,1,0,1,1,2,0
6,1,135,838,35,1,2,3300,0,1,1,1,2,0,2,3,6,1,0,1,1,1,0
6,11,74,1372,54,1,2,4300,0,2,0,1,1,0,2,2,7,1,0,1,1,1,0
6,12,23,1452,12,1,4,1500,3,3,1,1,2,24,3,1,18,0,0,0,0,0,0
6,1,82,516,27,1,2,2100,3,3,1,3,2,12,3,3,14,0,0,0,0,0,0
6,1,138,582,25,1,2,1500,3,4,1,1,1,12,3,3,5,1,1,2,2,1,2
6,11,74,140,39,1,2,3500,0,1,1,1,2,0,2,2,6,1,0,1,1,1,0
6,6,67,493,46,1,2,1800,0,2,0,1,1,0,2,2,6,1,0,1,1,1,0
6,8,6,52,30,1,2,5500,0,1,0,1,2,0,4,1,6,1,0,1,1,2,0
6,2,103,1212,12,1,2,1680,3,5,1,2,2,12,3,3,12,2,0,1,1,2,0
6,2,113,1461,15,1,4,1300,3,4,2,2,2,24,3,2,5,1,2,1,1,1,0
6,7,100,1201,34,1,2,4000,1,1,1,1,1,0,2,1,7,1,0,1,1,1,0
6,15,76,1511,36,1,2,7500,1,1,1,1,1,36,2,2,4,1,0,1,1,1,0
